"filename", "language", "JSON", "CSS", "JavaScript", "C#", "XML", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\package-lock.json", "JSON", 28715, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28716
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\public\manifest.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Controllers\KorisnikController.cs", "C#", 0, 0, 0, 382, 0, 0, 0, 0, 1, 68, 451
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Controllers\OrganizacijaController.cs", "C#", 0, 0, 0, 545, 0, 0, 0, 0, 2, 74, 621
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Controllers\ProjekatController.cs", "C#", 0, 0, 0, 271, 0, 0, 0, 0, 83, 33, 387
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Controllers\TaskController.cs", "C#", 0, 0, 0, 220, 0, 0, 0, 0, 3, 29, 252
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Controllers\TimController.cs", "C#", 0, 0, 0, 618, 0, 0, 0, 0, 15, 79, 712
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\DTO\ClanOrganizacijeDTO.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\DTO\ClanTimaDTO.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\DTO\KorisnikDTO.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 5, 11
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\DTO\NoviKorisnikDTO.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 20
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\DTO\OrganizacijaDTO.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 20
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\DTO\ProjekatDTO.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 16
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\DTO\TaskDTO.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 12, 23
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\DTO\TimDTO.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 12, 23
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Helpers\JwtService.cs", "C#", 0, 0, 0, 71, 0, 0, 0, 0, 4, 23, 98
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Migrations\20220429141337_V1.Designer.cs", "C#", 0, 0, 0, 255, 0, 0, 0, 0, 1, 86, 342
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Migrations\20220429141337_V1.cs", "C#", 0, 0, 0, 210, 0, 0, 0, 0, 0, 22, 232
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Migrations\20220503121929_V2.Designer.cs", "C#", 0, 0, 0, 336, 0, 0, 0, 0, 1, 119, 456
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Migrations\20220503121929_V2.cs", "C#", 0, 0, 0, 348, 0, 0, 0, 0, 0, 65, 413
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Migrations\20220601154348_V3.Designer.cs", "C#", 0, 0, 0, 384, 0, 0, 0, 0, 1, 138, 523
